timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
08/01/2000 00:13:45,0.0,0.0,0.0014141470000000001
08/01/2000 00:14:00,0.0,0.0,0.00142247
08/01/2000 00:14:15,0.0,0.0,0.001376394
08/01/2000 00:14:30,0.0,0.0,0.0013980370000000002
08/01/2000 00:14:45,0.0,0.0,0.001375236
08/01/2000 00:15:00,0.0,0.0,0.001440557
08/01/2000 00:15:15,0.0,0.0,0.001751556
08/01/2000 00:15:30,0.0,0.0,0.00137775
08/01/2000 00:15:45,0.0,0.0,0.001355796
08/01/2000 00:16:00,0.0,0.0,0.001327545
08/01/2000 00:16:15,0.0,0.0,0.00132388
08/01/2000 00:16:30,0.0,0.0,0.001263788
08/01/2000 00:16:45,0.0,0.0,0.001288334
08/01/2000 00:17:00,0.0,0.0,0.001370462
08/01/2000 00:17:15,0.0,0.0,0.001377011
08/01/2000 00:17:30,0.0,0.0,0.001380242
08/01/2000 00:17:45,0.0,0.0,0.0016015379999999998
08/01/2000 00:18:00,0.0,0.0,0.001336897
08/01/2000 00:18:15,0.0,0.0,0.001251999
08/01/2000 00:18:30,0.0,0.0,0.001215697
08/01/2000 00:18:45,0.0,0.0,0.0012414210000000001
08/01/2000 00:19:00,0.0,0.0,0.001234975
08/01/2000 00:19:15,0.0,0.0,0.001224705
08/01/2000 00:19:30,0.0,0.0,0.001272783
08/01/2000 00:19:45,0.0,0.0,0.001270092
08/01/2000 00:20:00,0.0,0.0,0.001360481
08/01/2000 00:20:15,0.0,0.0,0.0015677979999999998
08/01/2000 00:20:30,0.0,0.0,0.001406815
08/01/2000 00:20:45,0.0,0.0,0.001292644
08/01/2000 00:21:00,0.0,0.0,0.001348129
08/01/2000 00:21:15,0.0,0.0,0.001288785
08/01/2000 00:21:30,0.0,0.0,0.0012650769999999999
08/01/2000 00:21:45,0.0,0.0,0.001940093
08/01/2000 00:22:00,0.0,0.0,0.001253673
08/01/2000 00:22:15,0.0,0.0,0.001160716
08/01/2000 00:22:30,0.0,0.0,0.001113149
08/01/2000 00:22:45,0.0,0.0,0.001227317
08/01/2000 00:23:00,0.0,0.0,0.001939736
08/01/2000 00:23:15,0.0,0.0,0.001222447
08/01/2000 00:23:30,0.0,0.0,0.001276795
08/01/2000 00:23:45,0.0,0.0,0.001289022
08/01/2000 00:24:00,0.0,0.0,0.001168598
08/01/2000 00:24:15,0.0,0.0,0.001182222
08/01/2000 00:24:30,0.0,0.0,0.001147741
08/01/2000 00:24:45,0.0,0.0,0.001274842
08/01/2000 00:25:00,0.0,0.0,0.001167837
08/01/2000 00:25:15,0.0,0.0,0.001295328
08/01/2000 00:25:30,0.0,0.0,0.002473582
08/01/2000 00:25:45,0.0,0.0,0.001614159
08/01/2000 00:26:00,0.0,0.0,0.001294238
08/01/2000 00:26:15,0.0,0.0,0.001297547
08/01/2000 00:26:30,27.0,1.0,0.006378574000000001
08/01/2000 00:26:45,0.0,0.0,0.001957576
08/01/2000 00:27:00,0.0,0.0,0.002090897
08/01/2000 00:27:15,0.0,0.0,0.001912954
08/01/2000 00:27:30,0.0,0.0,0.001586972
08/01/2000 00:27:45,0.0,0.0,0.001610933
08/01/2000 00:28:00,0.0,0.0,0.0016120879999999998
08/01/2000 00:28:15,0.0,0.0,0.001655486
08/01/2000 00:28:30,0.0,0.0,0.001671978
08/01/2000 00:28:45,0.0,0.0,0.001734281
